Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-439.0465	-595.6092	156.5628	0.0079657	0.015252	0.00272918	0.00518881	0.00173787	0.000434604	0.0110885	0.00234969	0.0392335	0.00234967	0.00669485	0.00142872	0.034086	0.00225343	0.00601171	0.0122731	0.0139133	0.00333519	0.00932298	0.00308507	0.0138565	0.0110552	0.00862088	0.0163062	0.0125346	0.0222037	0.00299495	0.00598912	0.000298989	0.00831921	0.014704	0.000439514	0.00261449	0.00762948	0.0135522	0.0125397	0.013335	0.0133941	0.00602489	0.00134563	0.0106673	0.00335374	0.00388897	0.0141173	0.0113702	0.00889148	0.0198158	0.0328309	0.00115038	0.00160273	0.00425858	0.0109598	0.00206489	0.0300857	0.017295	0.000239363	0.0117408	0.00919226	0.000764384	0.00010175	0.00108677	0.0135293	0.0132704	0.0279936	0.00153378	0.00224203	0.00562349	0.0129979	0.0135171	0.0305835	0.00222393	0.0132949	0.00321593	0.00137307	0.000449195	0.026019	0.00990196	0.0251969	0.0220917	0.000214474	0.0023405	0.0338993	0.00630342	0.00843782	0.000909648	0.00573595	0.091505	0.0350468	0.0148053	0.00217471	0.0153029	1.00389	0.999336	1.174817	0.8251828	0.106202	0.334999	0.710923	1.40662	2.98508	9.41598	1.621415	0.7023925	0.1715096	0.00792052	0.0151655	0.00271371	0.00515938	0.00172802	0.000432139	0.0110256	0.00233636	0.039011	0.00233634	0.00665688	0.00142062	0.0338927	0.00224065	0.00597761	0.0122034	0.0138344	0.00331627	0.0092701	0.00306757	0.0137779	0.0109925	0.00857199	0.0162138	0.0124635	0.0220778	0.00297796	0.00595515	0.000297293	0.00827202	0.0146206	0.000437021	0.00259966	0.00758621	0.0134753	0.0124686	0.0132594	0.0133182	0.00599072	0.001338	0.0106068	0.00333472	0.00386691	0.0140373	0.0113058	0.00884105	0.0197034	0.0326447	0.00114386	0.00159364	0.00423442	0.0108976	0.00205318	0.0299151	0.0171969	0.000238005	0.0116742	0.00914012	0.000760049	0.000101173	0.00108061	0.0134525	0.0131951	0.0278348	0.00152508	0.00222932	0.00559159	0.0129242	0.0134404	0.0304101	0.00221132	0.0132195	0.00319769	0.00136528	0.000446647	0.0258714	0.0098458	0.025054	0.0219664	0.000213258	0.00232723	0.0337071	0.00626767	0.00838997	0.000904488	0.00570342	0.090986	0.034848	0.0147214	0.00216237	0.0152161	0.412591	0.587409	1.005704
36	-435.522	-590.8779	155.3559	0.000459166	0.012847	0.0060354	0.0207311	0.0100187	0.000192563	0.0112236	0.00551268	0.0161801	0.00339233	0.00520931	0.00123403	0.0110653	0.00103918	0.00421994	0.0127522	0.0161174	0.00512219	0.0225643	0.00602851	0.000374243	0.00593624	0.0060904	0.00567349	0.0123695	0.00557335	0.00868058	0.0189497	0.0122198	0.0104654	0.0104752	0.00607234	0.00254898	0.00407273	0.000991044	0.0097	0.0161279	0.011728	0.00517642	0.0017063	0.0056621	0.0216237	0.00615991	0.011954	0.0112309	0.0140231	0.0384693	0.0207652	0.00840979	0.00126177	0.00204561	0.00899704	0.0525515	0.0294217	0.00958663	0.00310694	0.00403229	0.0148775	0.00488472	0.00060128	0.0018181	0.00305022	0.00169159	0.00435987	0.0160412	0.0074542	0.00391362	0.00308538	0.0149509	0.0785543	0.007484	0.00114686	0.000747543	0.000480313	0.00696777	0.0436834	0.0433871	0.0223391	0.0299563	0.0143866	0.00686501	0.0442009	0.00299197	0.0115553	0.00668853	0.000588158	0.126603	0.0223027	0.00698155	0.0177348	0.0144928	1.33811	0.942273	0.8606755	1.139324	0.080425	0.292521	0.681476	1.4674	3.41856	12.4339	1.822444	1.323756	0.2424548	0.000394797	0.011046	0.00518931	0.0178249	0.0086142	0.000165568	0.0096502	0.00473987	0.0139118	0.00291676	0.00447903	0.00106104	0.00951408	0.000893502	0.00362835	0.0109645	0.0138579	0.00440412	0.019401	0.00518339	0.000321779	0.00510405	0.0052366	0.00487813	0.0106355	0.00479203	0.00746366	0.0162932	0.0105067	0.00899824	0.00900673	0.00522107	0.00219164	0.00350178	0.000852112	0.00834017	0.0138669	0.0100838	0.00445075	0.0014671	0.00486834	0.0185923	0.00529637	0.0102782	0.00965647	0.0120572	0.0330764	0.0178541	0.00723083	0.00108488	0.00175884	0.00773577	0.0451844	0.0252971	0.0082427	0.00267139	0.00346701	0.0127919	0.00419994	0.000516988	0.00156322	0.00262261	0.00145445	0.00374867	0.0137925	0.00640921	0.00336498	0.00265285	0.012855	0.0675419	0.00643483	0.000986082	0.000642746	0.000412979	0.00599098	0.0375595	0.0373047	0.0192074	0.0257568	0.0123698	0.00590261	0.0380044	0.00257253	0.00993542	0.00575088	0.000505705	0.108855	0.0191761	0.00600282	0.0152486	0.0124611	0.569662	0.430338	1.163045
72	-438.4017	-593.2953	154.8936	0.000779574	0.00287269	0.00276288	0.00100591	0.00256309	0.00169902	0.00152232	0.0023379	0.00253121	0.0104314	0.00391292	0.000163016	0.0125475	0.00331736	0.00342478	0.00933468	0.000837456	0.00237931	0.00147392	0.0082223	0.00818213	4.86058e-05	0.00318553	0.00452452	9.4553e-05	0.0113767	0.0012028	0.00209087	0.00813764	0.00553875	0.000102517	0.000932474	0.00101435	0.000208761	0.00124427	0.0102713	0.000298114	0.00142627	0.00084595	0.00021197	0.00158675	0.00075776	0.00199736	0.00287614	0.00826743	0.00856938	0.017439	0.000444956	0.00406525	0.0028102	0.00263382	0.00385233	0.0196706	0.0044574	0.00368314	0.0029586	0.00290651	0.00579579	0.0109044	0.00124037	0.00275769	0.000561193	0.0141482	0.0015429	0.00403129	0.00123869	0.00174297	0.00329548	0.00205124	0.0103468	0.000662784	0.000683777	0.00148128	0.00069223	0.000135243	0.0128583	0.000815189	0.00243208	0.00361166	0.00381906	0.00117355	0.0247525	0.012449	0.00518294	0.00200089	0.0130326	9.935e-05	0.0248234	0.00122252	0.00474661	0.00369451	2.03931	0.822557	0.9170331	1.082967	0.0329667	0.189348	0.595003	1.68066	5.28127	30.3336	2.467297	1.180946	0.4232827	0.00192935	0.00710956	0.00683778	0.0024895	0.00634332	0.00420486	0.00376755	0.00578601	0.00626444	0.0258164	0.00968399	0.000403445	0.0310535	0.00821006	0.00847592	0.0231022	0.0020726	0.0058885	0.00364777	0.0203492	0.0202498	0.000120293	0.00788379	0.0111976	0.000234007	0.0281559	0.00297678	0.00517466	0.0201397	0.0137077	0.000253716	0.00230776	0.0025104	0.000516659	0.00307941	0.0254201	0.000737795	0.00352985	0.00209362	0.0005246	0.00392701	0.00187536	0.00494322	0.00711809	0.0204609	0.0212082	0.0431595	0.00110121	0.010061	0.00695489	0.00651838	0.00953404	0.0486822	0.0110315	0.00911532	0.00732217	0.00719325	0.0143439	0.026987	0.00306977	0.00682495	0.00138888	0.0350151	0.0038185	0.00997695	0.0030656	0.00431364	0.0081559	0.00507657	0.0256072	0.00164031	0.00169226	0.00366598	0.00171319	0.00033471	0.0318227	0.00201749	0.00601911	0.00893842	0.00945172	0.00290438	0.0612595	0.0308097	0.0128271	0.00495197	0.0322542	0.000245879	0.0614348	0.00302558	0.0117473	0.00914347	0.541483	0.458517	0.4040603
108	-442.0771	-597.2936	155.2165	0.00128395	0.00596992	0.00236062	0.00407792	0.000261845	0.000510518	0.00805241	0.00657147	0.00290743	0.00162144	0.0036918	0.00095277	0.0072539	0.00112427	0.00116911	0.00631326	0.0074491	0.00273391	0.00550601	0.0180851	0.00086346	0.00344696	0.00467247	0.00352037	0.00381599	0.00658066	0.00193414	0.00329853	0.00321321	0.00216999	4.69358e-05	0.0015409	0.0036433	0.000249241	0.00400804	0.005719	0.00260946	0.000512043	1.8051e-05	3.40952e-05	0.00298907	0.000491243	0.00106895	0.00102535	0.00283459	0.00343096	0.00239201	0.00841108	0.00188953	0.00315748	0.00100862	0.00237174	0.000932894	0.000437793	0.000544669	0.00236542	0.00195057	0.00164833	0.0187898	0.00244216	0.00343427	3.28374e-05	0.000121564	0.0038424	0.00376919	0.0123671	0.000582004	0.000543009	0.0086199	0.00600214	0.00102689	0.000348792	0.00279022	0.00172493	0.00851649	0.00302206	0.00118422	0.00126819	0.0031901	0.00107509	0.00811586	0.00478953	0.00788365	0.00822417	0.0025668	0.00170108	0.0350664	0.00592514	0.000179055	0.000834881	0.00212708	0.970241	1.00508	0.9840097	1.01599	0.018949	0.144535	0.546924	1.82841	6.91872	52.7733	2.867695	1.0325	0.1648134	0.00376689	0.0175148	0.00692566	0.0119639	0.00076821	0.00149777	0.0236244	0.0192796	0.00852992	0.00475703	0.0108311	0.00279527	0.0212817	0.00329842	0.00342996	0.018522	0.0218544	0.00802083	0.0161537	0.0530587	0.00253325	0.0101128	0.0137082	0.0103282	0.0111955	0.0193066	0.00567446	0.00967734	0.00942701	0.00636639	0.000137702	0.00452074	0.0106888	0.000731232	0.0117589	0.0167786	0.00765571	0.00150225	5.29586e-05	0.00010003	0.00876944	0.00144123	0.00313611	0.0030082	0.00831622	0.0100659	0.00701775	0.0246767	0.00554356	0.00926351	0.00295911	0.00695829	0.00273695	0.00128441	0.00159797	0.00693974	0.00572265	0.00483593	0.0551263	0.00716489	0.0100756	9.63394e-05	0.000356648	0.0112729	0.0110582	0.0362831	0.0017075	0.0015931	0.0252894	0.0176093	0.00301273	0.0010233	0.00818605	0.00506066	0.024986	0.00886623	0.0034743	0.00372065	0.00935922	0.00315415	0.0238106	0.0140517	0.0231293	0.0241284	0.00753056	0.00499068	0.102879	0.0173834	0.000525319	0.0024494	0.00624049	0.507995	0.492005	0.3408509
144	-443.2319	-597.9815	154.7496	0.00319425	0.0102759	0.00471237	0.00389425	0.000487247	0.000702959	0.00574049	0.00206692	0.00645821	0.00427031	0.00118036	0.00267612	0.00895383	0.000982208	0.00561732	0.0104669	0.000997456	0.00554562	0.00108418	0.00204123	0.00220894	0.00421823	0.00287168	0.00626342	0.00353171	0.00200857	0.000562983	0.000295563	0.00195427	0.00299974	0.00134821	0.00208694	0.00300322	0.0021869	0.000976836	0.00710602	0.0031424	0.00669331	0.00226321	0.00122126	0.0015934	0.00405587	0.00230912	0.0085972	0.00331561	0.00644747	0.0128168	0.0136206	0.0050938	0.00166761	9.14939e-05	0.00160004	0.00026963	0.00131149	0.00491515	0.00685898	0.00150687	0.00548373	0.00513398	0.00461135	0.00466251	0.000336101	0.00188132	0.00330331	0.00486326	0.00540436	0.00436033	0.00132839	0.00789864	0.0125632	0.00823201	0.00103784	0.000257876	0.000228277	0.00456331	0.0173583	0.0147371	0.00741659	0.00501581	0.00135472	0.00348069	0.0123863	0.00421774	0.016587	0.0159589	0.010906	0.0316594	0.0117199	0.00406883	0.00295282	0.00457811	1.75283	0.871468	0.7903455	1.209655	0.0311461	0.184174	0.589882	1.69525	5.42964	32.1068	2.508374	1.530539	0.3434023	0.00702171	0.0225888	0.0103589	0.00856046	0.00107108	0.00154527	0.0126189	0.00454358	0.0141967	0.00938715	0.00259471	0.00588274	0.0196826	0.00215912	0.0123482	0.0230087	0.00219264	0.0121906	0.00238328	0.00448711	0.00485576	0.00927265	0.00631262	0.0137685	0.00776353	0.0044153	0.00123757	0.000649717	0.00429594	0.00659414	0.00296369	0.00458758	0.00660179	0.00480732	0.00214731	0.0156207	0.00690773	0.0147135	0.00497507	0.00268462	0.00350266	0.00891575	0.00507598	0.0188987	0.00728848	0.0141731	0.0281744	0.0299413	0.0111974	0.00366579	0.000201125	0.00351727	0.000592711	0.00288297	0.0108046	0.0150776	0.00331244	0.0120545	0.0112857	0.0101368	0.0102493	0.00073883	0.00413558	0.00726145	0.0106906	0.01188	0.00958503	0.00292012	0.0173631	0.0276168	0.0180959	0.00228142	0.000566871	0.000501806	0.0100312	0.0381575	0.0323956	0.0163034	0.0110259	0.00297798	0.00765138	0.0272279	0.00927158	0.0364622	0.0350815	0.023974	0.0695947	0.025763	0.00894424	0.00649098	0.0100638	0.604827	0.395173	0.4549106
180	-453.3768	-608.1398	154.763	0.00369433	0.00739627	0.0112641	0.00038347	0.000544834	0.0028593	0.00231806	0.0101129	0.0031799	0.00536864	0.00256215	0.00242551	0.00667547	1.62339e-05	0.00894862	0.0142274	0.00678263	0.00575173	0.00563975	0.0106506	0.00406123	0.00873576	0.00103604	0.00289173	0.0199757	0.0128779	0.00251698	0.00203754	0.000269197	0.00683133	0.00451609	0.000965959	0.00789603	0.00449135	0.00492717	0.00461099	0.00410751	0.00268873	0.00104696	0.000654423	0.000620598	0.0200808	0.00768067	0.0016034	0.00634309	0.00576586	0.0151016	0.00768216	0.00138062	0.00869984	0.00127187	0.0114294	0.00255756	0.00325195	0.0151947	0.00562555	0.00425397	0.00386653	0.00839175	0.0291829	0.00409568	0.00746722	0.00133314	0.0109964	0.0268679	0.00155791	0.00237829	9.1528e-05	0.0456486	0.00276429	0.0107825	0.00757581	0.00721742	0.00201765	0.00441115	0.00970926	0.0214513	0.0242527	0.0180347	0.0083218	0.00683228	0.0245314	0.0113147	0.00114429	0.00585854	0.0113559	0.0687349	0.0124763	0.00843573	0.0091167	0.00535838	1.1635	0.972086	0.494223	1.505777	0.0692611	0.271959	0.666155	1.50115	3.67702	14.4381	1.930501	3.046756	0.20435	0.00492538	0.00986092	0.0150176	0.000511253	0.000726387	0.00381209	0.0030905	0.0134828	0.00423954	0.00715762	0.00341593	0.00323376	0.00889992	2.16434e-05	0.0119306	0.0189683	0.00904279	0.00766836	0.00751907	0.0141997	0.00541454	0.0116468	0.00138128	0.00385533	0.0266321	0.0171692	0.0033557	0.0027165	0.0003589	0.00910772	0.00602098	0.00128784	0.0105272	0.00598799	0.00656904	0.0061475	0.00547625	0.00358469	0.00139583	0.000872495	0.000827398	0.0267723	0.0102401	0.0021377	0.00845679	0.0076872	0.0201338	0.0102421	0.00184068	0.0115989	0.0016957	0.0152379	0.00340981	0.00433559	0.020258	0.00750014	0.00567151	0.00515496	0.0111881	0.0389074	0.00546047	0.0099555	0.00177737	0.0146607	0.035821	0.00207705	0.0031708	0.000122028	0.06086	0.00368542	0.0143755	0.0101003	0.00962247	0.00268999	0.00588107	0.0129447	0.0285994	0.0323344	0.0240444	0.0110949	0.00910899	0.0327059	0.0150851	0.0015256	0.00781077	0.01514	0.0916392	0.0166338	0.0112468	0.0121546	0.00714394	0.752889	0.247111	0.7500595
216	-431.7604	-587.72	155.9596	0.003294	0.00263663	0.00123205	0.00593639	0.00131532	0.00030952	0.00261588	0.00174711	0.0170299	0.00119365	0.0072623	0.00687656	0.00385179	0.000117355	0.0114016	0.00627148	0.00407621	0.0040797	0.00749921	0.0361471	0.013261	0.0060284	0.00782619	0.00582073	0.0138444	0.0115254	0.00249618	0.00046677	0.00103104	0.00157528	0.00242326	0.00085543	0.000453191	0.0132513	0.00375193	0.000517907	0.013962	0.00571091	0.00672274	0.000809847	0.00666424	0.00543224	0.0028666	0.00236922	0.00837263	0.0114133	0.00598621	0.0228012	0.0157181	0.00159956	0.00989064	0.0113671	0.00806463	0.00173155	0.00610935	0.00336496	9.89951e-05	0.00705705	0.00621853	0.0473049	0.00111305	0.00252522	0.000259693	0.00229144	0.00546072	5.75974e-05	0.000296755	0.000120841	0.0177058	0.00281075	0.00083358	6.53395e-05	0.00624892	0.00217415	0.00375644	0.0269256	0.0239942	0.00408947	0.0138307	0.00813275	0.00277213	0.0217208	0.0021924	9.40226e-05	0.00477097	0.0148895	0.0505266	0.0130173	0.0181685	0.00289931	0.0174633	0.966603	1.0057	0.9820888	1.017911	0.0526729	0.237966	0.638975	1.56501	4.20228	18.9851	2.128464	1.036476	0.1640942	0.00475416	0.00380539	0.00177819	0.00856788	0.00189838	0.000446724	0.00377544	0.00252156	0.0245789	0.00172278	0.0104815	0.0099248	0.00555921	0.000169376	0.0164557	0.0090515	0.00588311	0.00588815	0.0108235	0.0521703	0.0191394	0.00870067	0.0112954	0.00840095	0.0199814	0.0166344	0.00360269	0.000673679	0.00148808	0.00227357	0.00349745	0.00123463	0.000654081	0.0191253	0.00541508	0.000747485	0.0201511	0.00824244	0.00970279	0.00116884	0.00961836	0.00784025	0.0041373	0.00341945	0.012084	0.0164725	0.00863978	0.0329086	0.0226856	0.00230861	0.014275	0.0164059	0.0116395	0.00249911	0.00881749	0.00485657	0.000142878	0.0101853	0.00897507	0.0682742	0.00160645	0.00364459	0.00037481	0.00330719	0.00788134	8.31291e-05	0.000428301	0.000174408	0.0255544	0.0040567	0.00120309	9.43031e-05	0.00901894	0.00313791	0.0054216	0.0388612	0.0346303	0.00590224	0.0199615	0.0117378	0.00400096	0.0313491	0.00316424	0.000135701	0.00688584	0.0214897	0.072924	0.0187875	0.0262222	0.00418451	0.0252044	0.508956	0.491044	0.6928664
252	-437.6706	-592.5626	154.892	0.00149978	0.0217144	0.0106452	0.00801794	0.00576948	0.003824	0.00726633	0.00198603	0.0406533	0.0106294	0.0398283	0.00456817	0.0208124	0.000744607	0.00661849	0.0162251	0.000310043	0.0107599	0.00458096	0.033816	0.00315632	0.0403963	0.00263123	0.0236304	0.0134605	0.0562496	0.0430776	0.00747899	0.00574922	0.0118067	0.025342	0.00809472	0.0212604	0.0151514	0.00425563	0.00326149	0.0402791	0.0064695	0.00253558	0.00231903	0.0317045	0.00291883	0.00744074	0.00788861	0.0194419	0.00492961	0.0415513	0.0141059	0.000793814	0.00690428	0.00560856	0.0275441	0.00974495	0.0121831	0.0230595	0.0105313	0.00109697	0.022486	0.00967584	0.0465738	0.00842821	0.0086766	0.000772512	0.00789913	0.0242909	0.00723476	0.000802766	0.00961757	0.0103167	0.0168495	0.00936389	0.00213977	0.00659637	0.00744478	0.00604991	0.0698824	0.0297004	0.00144964	0.0481595	0.0248926	0.00489992	0.0256507	0.0540904	0.0225969	0.000250833	0.00558574	0.0855269	0.0439224	0.0211844	0.0428966	0.0266928	0.930286	1.0119	0.6450989	1.354901	0.114455	0.347451	0.719063	1.3907	2.87811	8.73709	1.567308	2.1003	0.1569611	0.000982222	0.014221	0.00697167	0.00525104	0.00377849	0.00250438	0.0047588	0.00130067	0.0266243	0.00696133	0.026084	0.00299174	0.0136303	0.000487651	0.00433452	0.010626	0.00020305	0.00704675	0.00300012	0.0221464	0.00206711	0.026456	0.00172322	0.0154758	0.00881541	0.0368385	0.028212	0.00489807	0.00376523	0.00773235	0.0165968	0.00530132	0.0139237	0.0099228	0.00278706	0.00213599	0.0263793	0.00423695	0.00166058	0.00151876	0.0207636	0.00191157	0.00487303	0.00516634	0.0127327	0.00322845	0.0272124	0.00923814	0.000519877	0.00452169	0.00367311	0.0180389	0.00638208	0.00797883	0.0151019	0.00689705	0.000718415	0.0147263	0.00633681	0.0305017	0.00551973	0.0056824	0.000505927	0.00517323	0.0159084	0.00473812	0.00052574	0.00629865	0.00675653	0.0110349	0.00613251	0.00140136	0.00432004	0.00487567	0.00396216	0.0457668	0.0194511	0.000949386	0.0315402	0.0163024	0.00320901	0.016799	0.0354244	0.014799	0.000164273	0.00365817	0.0560125	0.0287653	0.0138739	0.0280935	0.0174814	0.677451	0.322549	1.526925
288	-439.5691	-595.1546	155.5855	0.00127381	0.0297559	0.00518158	0.000574683	0.00438309	0.00609264	0.014373	0.00999258	0.0171324	0.0307179	0.00727579	0.00614202	0.0151105	0.00263406	0.00766225	0.0289601	0.00137968	0.0183284	0.00202384	0.0123191	0.00761377	0.0267309	0.000511164	0.0166867	0.0143642	0.0144008	0.00900472	0.00116528	0.00386464	0.00261292	0.0135515	0.00820608	0.0137513	0.00795426	0.00397926	0.00772526	0.019428	0.00219747	0.0154934	0.0010331	0.00707199	0.000302404	0.00583927	0.0143305	0.0078119	0.0172534	0.0582065	0.0107602	0.00120727	0.00585846	0.000752298	0.0236915	0.00112535	0.0040146	0.0149336	0.00364523	0.00531307	0.0109179	0.0255627	0.0379282	0.00790332	0.00772579	0.00085869	0.0141212	0.0416647	0.00265967	0.000816532	0.0143438	0.0223679	0.0142151	0.00832607	0.00183627	0.0114194	0.00988861	0.00512793	0.0542797	0.0229299	0.00763246	0.0274408	0.023168	0.0210221	0.00295359	0.0417626	0.0183975	9.94139e-05	0.00517335	0.0752624	0.00561924	0.00795987	0.00469427	0.0214066	1.27693	0.95272	0.9521571	1.047843	0.0813907	0.294228	0.682715	1.46474	3.39872	12.2864	1.813814	1.100494	0.228831	0.00108762	0.0254065	0.0044242	0.000490683	0.00374242	0.00520209	0.0122721	0.00853198	0.0146282	0.0262279	0.0062123	0.00524425	0.0129018	0.00224904	0.00654227	0.0247271	0.00117802	0.0156494	0.00172801	0.0105185	0.00650088	0.0228237	0.000436448	0.0142476	0.0122646	0.0122959	0.00768852	0.000994956	0.00329975	0.002231	0.0115707	0.00700661	0.0117413	0.0067916	0.00339762	0.00659607	0.0165882	0.00187627	0.0132288	0.000882092	0.00603829	0.000258202	0.00498575	0.0122358	0.00667004	0.0147315	0.0496985	0.00918739	0.00103081	0.00500214	0.000642336	0.0202285	0.000960855	0.00342779	0.0127508	0.00311241	0.00453647	0.00932207	0.0218263	0.0323843	0.00674811	0.00659653	0.000733176	0.0120572	0.0355746	0.00227091	0.000697181	0.0122472	0.0190984	0.0121373	0.00710906	0.00156786	0.00975026	0.00844321	0.00437838	0.0463457	0.0195782	0.00651683	0.0234299	0.0197816	0.0179493	0.00252187	0.0356582	0.0157083	8.48827e-05	0.00441717	0.0642614	0.00479789	0.00679639	0.00400812	0.0182776	0.523921	0.476079	1.171191
324	-434.7362	-589.0145	154.2783	0.00209865	0.0287204	0.0168746	0.00330883	0.00307478	0.00796682	0.0163002	0.0138492	0.0360407	0.00343199	0.0122412	0.010977	0.00957807	0.00375832	0.00372264	0.0278471	0.004388	0.0230326	0.0161102	0.0216304	0.00333632	0.00245339	0.000382631	0.0386541	0.000249713	0.0128431	0.00731584	0.00141506	0.0100431	0.00328502	0.0020154	0.00298762	0.00713266	0.0347394	0.000704904	0.0362147	0.0179399	0.015254	0.00199491	0.00341668	0.0216422	0.00133811	0.0178975	0.00657162	0.0329742	0.0060074	0.040178	0.00812891	0.00104536	0.0082669	0.00121653	0.0309827	0.00163054	0.000479195	0.0155067	0.00345092	0.00815391	6.13077e-05	0.00831385	0.0394658	0.00145984	0.00358227	0.000982858	0.00827072	0.0396644	0.015617	0.0061034	0.00105785	0.0396697	0.00158982	0.00908566	0.0103877	0.0164018	0.00188297	0.0143716	0.055813	0.0307278	0.0190912	0.0166576	0.00478247	0.0145182	0.00271348	0.0492704	0.00159236	0.00531527	0.00707721	0.0985617	0.0207321	0.00836381	0.0109793	0.0234867	1.26373	0.954973	0.4725751	1.527425	0.0857935	0.301886	0.688209	1.45305	3.31251	11.6559	1.775721	3.232131	0.2259316	0.001665	0.0227858	0.0133878	0.00262511	0.00243943	0.00632061	0.012932	0.0109875	0.0285934	0.00272282	0.00971175	0.00870876	0.00759892	0.00298172	0.00295342	0.022093	0.00348129	0.0182733	0.0127813	0.0171608	0.00264692	0.00194644	0.000303566	0.0306668	0.000198114	0.0101893	0.00580414	0.00112266	0.00796783	0.00260622	0.00159895	0.00237028	0.00565881	0.0275611	0.000559247	0.0287316	0.0142329	0.012102	0.0015827	0.00271068	0.0171702	0.00106161	0.0141993	0.0052137	0.0261606	0.00476606	0.0318758	0.0064492	0.000829357	0.00655868	0.000965153	0.0245806	0.00129361	0.000380177	0.0123025	0.00273784	0.00646904	4.86395e-05	0.00659593	0.0313108	0.00115819	0.00284205	0.000779766	0.00656171	0.0314684	0.01239	0.00484224	0.000839265	0.0314726	0.00126131	0.00720826	0.00824122	0.0130126	0.00149388	0.0114019	0.0442801	0.0243784	0.0151463	0.0132155	0.00379425	0.0115182	0.00215278	0.0390895	0.00126332	0.00421696	0.00561482	0.0781955	0.0164482	0.00663557	0.00871057	0.0186335	0.763712	0.236288	1.260452
